,Bedrooms,Bathrooms,HouseSize_sqft,Neighborhood,Condition,Price,New column
0,5.0,3.0,1998.685661204493,Expensive Area,Fair,1223983.1753721775,1.0
1,5.0,2.0,1744.694279531526,Expensive Area,Poor,1125837.2898805377,2.0
2,5.0,3.0,1814.0164028325507,Low-Cost,Good,1078207.7480883868,3.0
3,6.0,4.0,2409.21194256321,Low-Cost,Poor,1240305.2859165706,4.0
5,3.0,2.0,1706.345217220328,Middle Class,Poor,978101.640323593,6.0
6,4.0,4.0,2431.685126202957,Low-Cost,Good,1232879.3814175944,7.0
7,4.0,3.0,2106.973891661164,Low-Cost,Poor,1050162.491048016,8.0
9,4.0,3.0,2017.024017434385,Low-Cost,Good,1015060.9495977124,10.0
10,4.0,3.0,1614.632922875015,Middle Class,Poor,936264.9247736008,11.0
11,3.0,2.0,1613.7080985718972,Middle Class,Poor,1023908.9981114405,12.0
12,3.0,3.0,1896.7849086264137,Low-Cost,Poor,974245.587075367,13.0
13,2.0,2.0,1034.687902136881,Middle Class,Good,702038.9508978078,14.0
14,2.0,3.0,1110.032866994787,Low-Cost,Good,596760.4520801879,15.0
15,4.0,2.0,1575.084988303611,Low-Cost,Poor,765892.5204757253,16.0
16,2.0,2.0,1394.8675518662303,Low-Cost,Poor,1004516.6064958775,17.0
17,4.0,2.0,1925.698933038109,Middle Class,Good,1036229.4039567652,18.0
18,3.0,2.0,1436.7903697915156,Middle Class,Good,820141.2689984632,19.0
19,2.0,2.0,1235.0785194658831,Expensive Area,Poor,885578.5607949934,20.0
20,4.0,3.0,2386.2595075686218,Low-Cost,Poor,1208779.3656568504,21.0
21,3.0,2.0,1709.6894798053856,Low-Cost,Poor,835806.534409568,22.0
22,4.0,2.0,1827.0112818751693,Middle Class,Fair,998364.34895766,23.0
23,2.0,2.0,1230.1007255146174,Middle Class,Good,671998.6977574804,24.0
24,4.0,2.0,1582.246910189927,Middle Class,Fair,904409.2219016,25.0
25,3.0,4.0,1844.3690358839465,Low-Cost,Good,929817.726798255,26.0
26,3.0,2.0,1339.602569031079,Expensive Area,Good,889398.0241012416,27.0
27,3.0,2.0,1950.2792073382689,Low-Cost,Good,956581.3207360512,28.0
28,2.0,2.0,1559.744524032478,Low-Cost,Good,842083.9691011414,29.0
29,4.0,1.0,1683.3225000826892,Middle Class,Good,961896.5670086496,30.0
30,4.0,2.0,1559.3173551082411,Low-Cost,Good,802273.152928946,31.0
31,5.0,3.0,2540.911273803575,Low-Cost,Good,1332840.564063662,32.0
32,4.0,3.0,1794.6011101048264,Middle Class,Fair,1020606.164862994,33.0
33,4.0,2.0,1376.91562841764,Expensive Area,Poor,1004516.6064958775,34.0
34,5.0,3.0,2129.0179648412754,Middle Class,Poor,1273600.068697408,35.0
35,3.0,2.0,1311.662540011591,Middle Class,Fair,738857.4433554899,36.0
36,4.0,2.0,1883.545438001902,Middle Class,Fair,1004516.6064958775,37.0
37,2.0,2.0,1814.0164028325507,Middle Class,Fair,647158.2022290753,38.0
38,2.0,2.0,1268.7255804406277,Middle Class,Fair,719883.2512350862,39.0
39,4.0,4.0,1878.7444943476487,Middle Class,Good,1071325.5685591823,40.0
40,3.0,2.0,2095.3866319981644,Expensive Area,Poor,1163270.3070186933,41.0
41,4.0,2.0,1868.5473124759883,Expensive Area,Good,1127554.2625819985,42.0
