,Bedrooms,Bathrooms,HouseSize_sqft,Neighborhood,Condition,Price
0,5,3,1999,3,1,1223983.1753721775
1,5,2,1745,3,0,1125837.2898805377
2,5,3,1810,0,2,1078207.7480883868
3,6,4,2409,0,0,1240305.2859165706
4,3,2,1706,2,0,978101.640323593
5,4,4,2432,0,2,1232879.3814175944
6,4,3,2107,0,0,1050162.491048016
7,4,3,2017,0,2,1015060.9495977124
8,4,3,1615,2,0,936264.9247736008
9,3,2,1614,2,0,1023908.9981114405
10,3,3,1897,0,0,974245.587075367
11,2,2,1035,2,2,702038.9508978078
12,2,3,1110,0,2,596760.4520801879
13,4,2,1575,0,0,765892.5204757253
14,2,2,1395,0,0,1004516.6064958776
15,4,2,1926,2,2,1036229.4039567652
16,3,2,1437,2,2,820141.2689984632
17,2,2,1235,3,0,885578.5607949934
18,4,3,2386,0,0,1208779.3656568504
19,3,2,1710,0,0,835806.534409568
20,4,2,1827,2,1,998364.34895766
21,2,2,1230,2,2,671998.6977574804
22,4,2,1582,2,1,904409.2219016
23,3,4,1844,0,2,929817.726798255
24,3,2,1340,3,2,889398.0241012416
25,3,2,1950,0,2,956581.3207360512
26,2,2,1560,0,2,842083.9691011414
27,4,1,1683,2,2,961896.5670086496
28,4,2,1559,0,2,802273.152928946
29,5,3,2541,0,2,1332840.564063662
30,4,3,1795,2,1,1020606.164862994
31,4,2,1377,3,0,1004516.6064958776
32,5,3,2129,2,0,1273600.068697408
33,3,2,1312,2,1,738857.4433554899
34,4,2,1884,2,1,1004516.6064958776
35,2,2,1810,2,1,647158.2022290753
36,2,2,1269,2,1,719883.2512350862
37,4,4,1879,2,2,1071325.5685591823
38,3,2,2095,3,0,1163270.3070186933
39,4,2,1869,3,2,1127554.2625819985
40,3,3,1754,2,0,1042059.056747411
41,4,1,1680,0,0,805775.3473662998
42,2,2,1209,2,1,703592.6254340458
43,3,2,1512,0,2,821794.6591514152
44,4,2,1616,2,0,913695.7794898668
45,4,2,2223,2,2,1207853.1546068967
46,5,2,1937,3,0,1118979.4862779167
47,1,1,1095,0,1,547501.9849509374
48,4,2,1930,0,1,971720.7865409268
49,4,2,1646,3,0,1034257.0893954588
50,3,2,1529,3,0,972775.62149187
51,3,3,2045,3,0,1268788.641251915
52,4,4,2212,3,1,1004516.6064958776
53,3,3,1810,0,2,1108404.310938381
54,4,2,1464,0,1,773772.3748672452
55,3,1,1676,2,2,900746.7835624608
56,4,2,1933,2,1,1068781.932956492
57,3,3,2190,3,1,1252736.0805778538
58,4,2,1726,3,2,1090109.3102687516
59,3,3,1357,2,0,776663.4277205257
60,3,1,1322,2,1,780879.1644993506
61,5,4,2125,2,0,1238768.1000511516
62,4,3,2342,2,0,1256581.149333016
63,5,2,1771,2,2,942382.531145282
64,6,2,2201,2,1,1191401.2620077317
65,3,2,1945,2,2,1093004.3209054072
66,1,1,1542,3,1,895192.4023021113
67,4,3,1945,3,2,1141072.1420226672
68,5,4,2415,3,0,1004516.6064958776
69,3,2,1786,3,1,1082769.9137553454
70,5,3,2426,2,2,1339037.8650925625
71,1,1,752,0,0,368277.9182887552
72,5,2,2129,2,0,1004516.6064958776
73,4,1,1835,0,2,905915.727811556
74,4,2,1680,3,1,997506.3713811887
75,4,3,1837,2,1,1100978.2104604736
76,1,1,1810,3,0,639567.9812954991
77,3,2,1712,2,1,980973.8158140128
78,3,2,1943,3,1,1173919.744429788
79,6,3,2391,0,1,1266970.2549979116
80,3,2,1593,2,0,792762.751329202
81,4,1,1477,0,2,768583.0541893245
82,2,1,1599,2,1,855957.8639630559
83,4,3,2166,0,0,1073661.3253644696
84,5,2,1932,2,0,1077905.978190391
85,4,2,1588,0,2,793271.969587139
86,4,1,2005,0,1,1025018.5196142512
87,4,3,1839,2,0,1024535.4399636956
88,4,3,2187,2,2,1206390.8879721053
89,2,2,1519,2,2,776129.0792484608
90,3,2,1669,2,0,912253.6644012794
91,3,3,1810,0,0,868021.3464804698
92,2,3,1215,2,2,718320.199637543
93,4,2,1918,3,1,1158440.5687953408
